일련번호,설교일,예배종류,성경본문,추가본문,설교제목,설교 요약,메모,설교록정보,파일코드
7635,1977-09-18,주일오후,,,,,원문없음,,1977091802
7636,1977-09-25,주일오후,벧후 3:14-18,,,,원문없음,,1977092502
7637,1977-10-02,주일오후,고전 16:1-24,,,,원문없음,,1977100202
7638,1977-10-09,주일오후,마 3:11-12,,,,원문없음,,1977100902
7639,1977-10-16,주일오후,눅 5:4-11,,신앙의 상질,,,,1977101602
7640,1977-10-23,주일오후,마 23:1,,,,원문없음,,1977102302
7641,1977-10-30,주일오후,갈 5:13-26,,,,원문없음,,1977103002
7642,1977-11-06,주일오후,마 6:19-34,,,,원문없음,,1977110602
7643,1977-11-13,주일오후,출 23:14-17,,제목없음,,,,1977111302
7644,1977-11-20,주일오후,마 16:17-25,,,,원문없음,,1977112002
7645,1977-12-04,주일오후,요 15:1-11,,,,원문없음,,1977120402
7646,1977-12-11,주일오후,눅 15:11-32,,,,원문없음,,1977121102
7647,1977-12-18,주일오후,눅 5:32,,,,원문없음,,1977121802
7648,1978-01-01,주일오후,욜 1:19-24,,,,원문없음,,1978010102
7649,1978-01-08,주일오후,약 2:14-26,,제목없음,,,,1978010802
7650,1978-01-15,주일오후,엡 1:15,,,,원문없음,,1978011502
7651,1978-01-22,주일오후,약 1:2-18,,제목없음,,,,1978012202
7652,1978-01-29,주일오후,눅 14:25,,제목없음,,,,1978012902
7653,1978-02-05,주일오후,엡 4:15-16,,,,원문없음,,1978020502
7654,1978-02-12,주일오후,벧전 1:3-9,,,,원문없음,,1978021202
7655,1978-02-26,주일오후,딤전 6:11-16,,,,원문없음,,1978022602
7656,1978-03-05,주일오후,요일 1:3-4,,,,원문없음,,1978030502
7657,1978-03-12,주일오후,마 16:21-25,,,,원문없음,,1978031202
7658,1978-03-19,주일오후,마 16:24-26,,,,원문없음,,1978031902
7659,1978-03-26,주일오후,롬 6:1,,,,원문없음,,1978032602
7660,1978-04-02,주일오후,엡 5:15-21,,,,원문없음,,1978040202
7661,1978-04-09,주일오후,왕하 2:8-10,,,,원문없음,,1978040902
7662,1978-04-16,주일오후,마 6:5-8,,,,원문없음,,1978041602
7663,1978-04-23,주일오후,롬 13:4-5,,,,원문없음,,1978042302
7664,1978-04-30,주일오후,마 5:14-16,,,,원문없음,,1978043002
7665,1978-05-28,주일오후,,,,,원문없음,,1978052802
7666,1978-06-04,주일오후,눅 5:1-11,,,,원문없음,,1978060402
7667,1978-06-11,주일오후,호 2:2,,,,원문없음,,1978061102
7668,1978-06-18,주일오후,마 10:,,,,원문없음,,1978061802
7669,1978-06-25,주일오후,마 4:17,,,,원문없음,,1978062502
7670,1978-07-02,주일오후,히 12:14-17,,,,원문없음,,1978070202
7671,1978-07-09,주일오후,엡 6:10,,,,원문없음,,1978070902
7672,1978-07-16,주일오후,고전 15:50-58,,,,원문없음,,1978071602
7673,1978-07-23,주일오후,마 11:20-30,,,,원문없음,,1978072302
7674,1978-07-30,주일오후,갈 5:1-13,,,,원문없음,,1978073002
7675,1978-08-06,주일오후,시 1:1-6,,,,원문없음,,1978080602
7676,1978-08-20,주일오후,단 6:1,,,,원문없음,,1978082002
7677,1978-08-25,주일오후,전 1:6,,제목없음,,,,1978082502
7678,1978-09-10,주일오후,단 6:20-22,,,,원문없음,,1978091002
7679,1978-09-24,주일오후,마 15:32-39,,,,원문없음,,1978092402
7680,1978-10-01,주일오후,눅 16:1-13,,,,원문없음,,1978100102
7681,1978-10-08,주일오후,눅 24:1-6,,,,원문없음,,1978100802
7682,1978-10-15,주일오후,마 5:17,,,,원문없음,,1978101502
7683,1978-10-22,주일오후,고전 15:,,,,원문없음,,1978102202
7684,1978-10-29,주일오후,벧전 1:17,,,,원문없음,,1978102902
7685,1978-11-05,주일오후,행 3:1-15,,,,원문없음,,1978110502
7686,1978-11-12,주일오후,계 17:14-15,,,,원문없음,,1978111202
7687,1978-11-19,주일오후,마 16:24-25,,,,원문없음,,1978111902
7688,1978-11-26,주일오후,벧전 1:3-7,,,,원문없음,,1978112602
7689,1978-12-17,주일오후,딤전 6:17,,,,원문없음,,1978121702
7690,1978-12-24,주일오후,요 1:14,,,,원문없음,,1978122402
7691,1978-12-31,주일오후,엡 5:15-17,,,,원문없음,,1978123102
7692,1979-01-07,주일오후,출 20:8-11,,,,원문없음,,1979010702
7693,1979-01-14,주일오후,눅 5:4-11,,,,원문없음,,1979011402
7694,1979-01-21,주일오후,롬 12:1-2,,,,원문없음,,1979012102
7695,1979-01-28,주일오후,요 8:31-36,,,,원문없음,,1979012802
7696,1979-01-28,주일오후,마 4:17,,제목없음,,,,1979012802
7697,1979-02-11,주일오후,단 6:19-24,,,,원문없음,,1979021102
7698,1979-02-25,주일오후,요 6:52-59,,,,원문없음,,1979022502
7699,1979-03-04,주일오후,빌 2:5-11,,,,원문없음,,1979030402
7700,1979-03-11,주일오후,마 24:42-51,,,,원문없음,,1979031102
7701,1979-04-01,주일오후,엡 6:18,,,,원문없음,,1979040102
7702,1979-04-08,주일오후,엡 6:18,,,,원문없음,,1979040802
7703,1979-04-15,주일오후,고전 15:19-34,,제목없음,,,,1979041502
7704,1979-04-22,주일오후,삼상 7:1-14,,,,원문없음,,1979042202
7705,1979-05-27,주일오후,벧후 3:1-14,,,,원문없음,,1979052702
7706,1979-06-03,주일오후,롬 1:12-17,,,,원문없음,,1979060302
7707,1979-06-10,주일오후,눅 14:25-35,,,,원문없음,,1979061002
7708,1979-06-17,주일오후,눅 14:25-35,,,,원문없음,,1979061702
7709,1979-06-24,주일오후,요 15:1,,,,원문없음,,1979062402
7710,1979-07-01,주일오후,요 15:9-15,,,,원문없음,,1979070102
7711,1979-07-08,주일오후,요일 4:14-21,요한1서04:14-21,제목없음,,,,1979070802
7712,1979-07-15,주일오후,고전 13:1-3,,제목없음,,,,1979071502
7713,1979-07-22,주일오후,사 49:23,,제목없음,,,,1979072202
7714,1979-07-29,주일오후,마 23:13,,제목없음,,,,1979072902
7715,1979-08-12,주일오후,고후 4:4,,제목없음,,,,1979081202
7716,1954-01-31,주일저녁,창 32:27-32,,새이름 받기 전에 얍복강을 건너지 마라,,,,1954013103
7717,1954-05-13,주일저녁,요 5:39-47,,영생은 원하면서 영생을 얻기 위하여 내게 오지는 않는다,,,,1954051303
7718,1954-08-08,주일저녁,아 3:6-11,,아름다운 구원을 예비하라,,,,1954080803
7719,1955-01-23,주일저녁,대하 15:16,"역대하15:16,01-07",우상을 피하라,,,,1955012303
7720,1955-02-20,주일저녁,요 3:3-5,,순종하는 생명으로 자라가라,,,,1955022003
7721,1955-03-27,주일저녁,마 24:12-13,,끝까지 견뎌라,,,,1955032703
7722,1955-05-08,주일저녁,요 8:31-32,,너희가 내 말에 거하면 참 내 제자가 되고,,,,1955050803
7723,1955-09-04,주일저녁,눅 16:19-31,,홍포 입은 부자와 거지 나사로에 대한 증거,,,,1955090403
7724,1957-06-02,주일저녁,요 3:31-36,,믿는 자는 영생이 있나니라,,,,1957060203
7725,1958-03-30,주일저녁,요 6:22,끝절까지,예수님의 피와 살을 먹어야 영생한다,,,,1958033003
7726,1958-04-20,주일저녁,요 6:26-27,,,,원문없음,,1958042003
7727,1958-06-22,주일저녁,요 10:1-18,,,,원문없음,,1958062203
7728,1958-11-30,주일저녁,요 8:26-30,,,,원문없음,,1958113003
7729,1958-12-28,주일저녁,눅 16:14-18,,하나님의 말씀의 존귀성,,,,1958122803
7730,1960-09-18,주일저녁,행 1:3-14,,제목없음,,,,1960091803
7731,1961-11-05,주일저녁,창 2:7-17,,,,원문없음,,1961110503
7732,1961-11-05,주일저녁,창 3:22-24,,,,원문없음,,1961110503
7733,1966-06-12,주일저녁,요 1:19,,,,원문없음,,1966061203
7734,1976-12-11,미분류(주일),,,,,원문없음,,1976121198
7735,1957-08-25,미분류(주일),약 5:13-18,,성도의 의무가 무엇이냐?,,,,1957082598
7736,1954-02-21,미분류(주일),롬 3:31,,,,원문없음,,1954022198
7737,1955-02-13,미분류(주일),빌 3:17-21,,나를 본받으라,,,,1955021398
7738,1955-02-27,미분류(주일),롬 4:3,,,,원문없음,,1955022798
7739,1955-03-06,미분류(주일),롬 4:11-13,,,,원문없음,,1955030698
7740,1955-03-13,미분류(주일),빌 1:2-11,,복음의 교회,,,,1955031398
7741,1955-03-20,미분류(주일),사 1:10-15,,,,원문없음,,1955032098
7742,1955-03-20,미분류(주일),눅 10:27,,,,원문없음,,1955032098
7743,1955-03-20,미분류(주일),갈 6:11-18,,날마다 십자가로 주를 섬기라,,,,1955032098
7744,1955-03-20,미분류(주일),히 11:29,,믿음은 구원이요 시험은 사망이라,,,,1955032098
7745,1955-06-12,미분류(주일),눅 19:11,,,,원문없음,,1955061298
7746,1955-07-17,미분류(주일),마 6:19-34,,물질과 성도의 올바른 생활,,,,1955071798
7747,1955-12-11,미분류(주일),빌 2:12-18,,,,원문없음,,1955121198
7748,1956-01-15,미분류(주일),,,,,원문없음,,1956011598
7749,1956-04-15,미분류(주일),요 3:16,,,,원문없음,,1956041598
7750,1956-04-22,미분류(주일),시 145:1-21,,,,원문없음,,1956042298
7751,1956-04-29,미분류(주일),골 3:1-11,,,,원문없음,,1956042998
7752,1956-05-06,미분류(주일),,,,,원문없음,,1956050698
7753,1956-06-24,미분류(주일),고전 6:19-20,,,,원문없음,,1956062498
7754,1956-06-24,미분류(주일),벧전 1:13-15,,,,원문없음,,1956062498
7755,1956-06-24,미분류(주일),마 8:28-34,,,,원문없음,,1956062498
7756,1956-06-24,미분류(주일),약 1:6-8,,,,원문없음,,1956062498
7757,1956-08-12,미분류(주일),사 53:1-6,,,,원문없음,,1956081298
7758,1956-10-28,미분류(주일),마 27:1-5,,,,원문없음,,1956102898
7759,1956-12-09,미분류(주일),롬 8:18-39,,그리스도의 요구,,,,1956120998
7760,1956-12-30,미분류(주일),삼상 3:19-20,,,,원문없음,,1956123098
7761,1957-01-13,미분류(주일),삼상 16:6-13,,,,원문없음,,1957011398
7762,1957-01-20,미분류(주일),요 14:23-24,,,,원문없음,,1957012098
7763,1957-02-03,미분류(주일),마 15:12-14,,,,원문없음,,1957020398
7764,1957-03-24,미분류(주일),삼상 15:1,끝절까지,,,원문없음,,1957032498
7765,1957-04-21,미분류(주일),고전 15:3-8,,,,원문없음,,1957042198
7766,1957-07-21,미분류(주일),요 6:52-58,,,,원문없음,,1957072198
7767,1957-12-08,미분류(주일),창 22:9-12,,,,원문없음,,1957120898
7768,1957-12-15,미분류(주일),마 25:37-40,,,,원문없음,,1957121598
7769,1958-01-19,미분류(주일),요일 1:5-4,,,,원문없음,,1958011998
7770,1958-04-20,미분류(주일),고전 5:1-10,,,,원문없음,,1958042098
7771,1958-06-29,미분류(주일),시 91:7-11,,,,원문없음,,1958062998
7772,1958-07-20,미분류(주일),,,,,원문없음,,1958072098
7773,1959-01-18,미분류(주일),삼상 16:6-13,,,,원문없음,,1959011898
7774,1959-02-08,미분류(주일),엡 2:20-22,,,,원문없음,,1959020898
7775,1959-04-05,미분류(주일),요일 1:3-3,,,,원문없음,,1959040598
7776,1959-04-12,미분류(주일),딤전 3:16,,,,원문없음,,1959041298
7777,1959-05-03,미분류(주일),히 12:1-3,,,,원문없음,,1959050398
7778,1959-05-10,미분류(주일),계 13:1-18,,,,원문없음,,1959051098
7779,1959-06-14,미분류(주일),요 21:22,,,,원문없음,,1959061498
7780,1960-01-10,미분류(주일),마 15:1,,,,원문없음,,1960011098
7781,1960-02-07,미분류(주일),눅 16:16,,,,원문없음,,1960020798
7782,1960-02-07,미분류(주일),약 5:7-11,,,,원문없음,,1960020798
7783,1960-03-27,미분류(주일),약 1:19-22,,,,원문없음,,1960032798
7784,1960-03-27,미분류(주일),눅 17:1,"누가복음17:01,16:16,",,,원문없음,,1960032798
7785,1960-04-03,미분류(주일),고전 4:2,,,,원문없음,,1960040398
7786,1960-04-10,미분류(주일),요 8:44,,,,원문없음,,1960041098
7787,1960-06-05,미분류(주일),엡 1:3,끝절까지,,,원문없음,,1960060598
7788,1960-06-05,미분류(주일),엡 1:15-23,,,,원문없음,,1960060598
7789,1960-07-03,미분류(주일),계 2:10,,,,원문없음,,1960070398
7790,1960-12-25,미분류(주일),눅 1:26-38,,,,원문없음,,1960122598
7791,1961-06-04,미분류(주일),벧전 1:3-4,,,,원문없음,,1961060498
7792,1961-07-16,미분류(주일),계 2:1,,,,원문없음,,1961071698
7793,1962-01-14,미분류(주일),마 25:14-30,,,,원문없음,,1962011498
7794,1963-04-14,미분류(주일),마 7:6,,,,원문없음,,1963041498
7795,1965-02-07,미분류(주일),,,,,원문없음,,1965020798
7796,1965-03-21,미분류(주일),창 20:22,,,,원문없음,,1965032198
7797,1966-01-09,미분류(주일),계 4:,,,,원문없음,,1966010998
7798,1967-08-27,미분류(주일),마 7:13,,,,원문없음,,1967082798
7799,1968-04-28,미분류(주일),신 11:1-32,,,,원문없음,,1968042898
7800,1968-06-02,미분류(주일),,,,,원문없음,,1968060298
7801,1968-12-08,미분류(주일),마 13:31-33,,,,원문없음,,1968120898
7802,1969-03-09,미분류(주일),수 17:1-18,"여호수아17:01-18,18,19",,,원문없음,,1969030998
7803,1969-03-16,미분류(주일),수 20:1-9,,,,원문없음,,1969031698
7804,1969-09-21,미분류(주일),출 20:4-6,,,,원문없음,,1969092198
7805,1970-01-11,미분류(주일),고후 11:23-28,,,,원문없음,,1970011198
7806,1970-01-25,미분류(주일),요 10:4,,,,원문없음,,1970012598
7807,1970-04-26,미분류(주일),사 56:2,,,,원문없음,,1970042698
7808,1970-04-26,미분류(주일),사 56:6-7,,,,원문없음,,1970042698
7809,1970-04-26,미분류(주일),사 58:13-14,,,,원문없음,,1970042698
7810,1970-04-26,미분류(주일),마 24:22,,,,원문없음,,1970042698
7811,1970-04-26,미분류(주일),사 56:4-5,,,,원문없음,,1970042698
7812,1970-04-26,미분류(주일),사 58:14,,,,원문없음,,1970042698
7813,1970-04-26,미분류(주일),히 4:3,"히브리서04:03,08-10",,,원문없음,,1970042698
7814,1970-05-10,미분류(주일),벧전 4:11,,,,원문없음,,1970051098
7815,1971-09-19,미분류(주일),눅 7:44-50,,,,원문없음,,1971091998
7816,1971-12-19,미분류(주일),마 10:40-42,,,,원문없음,,1971121998
7817,1972-01-23,미분류(주일),마 24:,,,,원문없음,,1972012398
7818,1972-01-30,미분류(주일),벧전 5:3,,,,원문없음,,1972013098
7819,1972-05-28,미분류(주일),,,,,원문없음,,1972052898
7820,1972-06-25,미분류(주일),마 22:1-14,,,,원문없음,,1972062598
7821,1973-01-21,미분류(주일),마 6:13-16,,,,원문없음,,1973012198
7822,1973-01-28,미분류(주일),,,,,원문없음,,1973012898
7823,1973-06-17,미분류(주일),눅 15:1-10,,*자의 회개,,,,1973061798
7824,1973-07-01,미분류(주일),약 1:2-4,,시험,,,,1973070198
7825,1973-08-26,미분류(주일),,,정죄와 심판과 주권,,,,1973082698
7826,1973-09-02,미분류(주일),신 28:1-19,,*과 힘의 대결,,,,1973090298
7827,1973-09-23,미분류(주일),학 2:2-10,,하나님의 성전,,,,1973092398
7828,1974-05-05,미분류(주일),요 8:31-37,,,,원문없음,,1974050598
7829,1974-12-15,미분류(주일),마 5:13,,,,원문없음,,1974121598
7830,1974-12-15,미분류(주일),마 5:13,,성도는 세상의 소금,,,,1974121598
7831,1975-01-19,미분류(주일),마 3:,,,,원문없음,,1975011998
7832,1975-01-26,미분류(주일),눅 22:14-22,,,,원문없음,,1975012698
7833,1975-01-26,미분류(주일),빌 2:5-11,,피조물의 유일한 능과 방법,,,,1975012698
7834,1975-02-23,미분류(주일),요 15:1,,,,원문없음,,1975022398
7835,1975-03-02,미분류(주일),요 3:1-7,,*교의 인생관,,,,1975030298
7836,1975-04-13,미분류(주일),요일 3:21-22,요한1서03:21-22,,,원문없음,,1975041398
7837,1975-04-20,미분류(주일),고후 5:1,,,,원문없음,,1975042098
7838,1975-04-20,미분류(주일),롬 12:21,,악에게 지지말고 선으로 악을 이겨라,,,,1975042098
7839,1975-04-27,미분류(주일),히 12:14-27,,*인,,,,1975042798
7840,1975-05-25,미분류(주일),롬 8:6,,,,원문없음,,1975052598
7841,1975-06-08,미분류(주일),눅 18:1,,,,원문없음,,1975060898
7842,1975-06-15,미분류(주일),마 6:25-34,,,,원문없음,,1975061598
7843,1975-06-29,미분류(주일),마 6:31-34,,,,원문없음,,1975062998
7844,1975-08-10,미분류(주일),창 19:29,,,,원문없음,,1975081098
7845,1975-08-24,미분류(주일),사 2:2,,,,원문없음,,1975082498
7846,1975-08-31,미분류(주일),마 24:42,,,,원문없음,,1975083198
7847,1975-09-21,미분류(주일),골 1:10,,,,원문없음,,1975092198
7848,1975-10-05,미분류(주일),요 3:16,,,,원문없음,,1975100598
7849,1975-11-02,미분류(주일),고전 15:35-38,,,,원문없음,,1975110298
7850,1975-12-07,미분류(주일),고전 9:24,,,,원문없음,,1975120798
7851,1976-01-04,미분류(주일),마 25:31-46,,그리스도 심판과 공심판,,,,1976010498
7852,1976-01-11,미분류(주일),유 1:5-13,,,,원문없음,,1976011198
7853,1976-02-01,미분류(주일),딤후 3:16,,,,원문없음,,1976020198
7854,1976-02-08,미분류(주일),딤전 3:4,,,,원문없음,,1976020898
7855,1976-04-11,미분류(주일),요 5:1-9,,,,원문없음,,1976041198
7856,1976-06-06,미분류(주일),,,,,원문없음,,1976060698
7857,1976-06-13,미분류(주일),벧전 1:,,,,원문없음,,1976061398
7858,1976-06-20,미분류(주일),벧전 2:11-12,,,,원문없음,,1976062098
7859,1976-06-27,미분류(주일),벧전 2:11-12,,,,원문없음,,1976062798
7860,1976-07-11,미분류(주일),벧전 2:11,,,,원문없음,,1976071198
7861,1976-07-18,미분류(주일),벧전 2:11,,,,원문없음,,1976071898
7862,1976-07-25,미분류(주일),벧전 2:11,,,,원문없음,,1976072598
7863,1976-08-08,미분류(주일),마 13:3,,,,원문없음,,1976080898
7864,1976-12-19,미분류(주일),고전 15:50-58,,,,원문없음,,1976121998
7865,1977-01-23,미분류(주일),단 12:3,,,,원문없음,,1977012398
7866,1977-02-27,미분류(주일),요 15:1,,,,원문없음,,1977022798
7867,1977-04-10,미분류(주일),고후 5:14-15,,,,원문없음,,1977041098
7868,1977-05-15,미분류(주일),계 20:12,,,,원문없음,,1977051598
7869,1977-05-22,미분류(주일),고후 5:8-10,,,,원문없음,,1977052298
7870,1977-05-29,미분류(주일),렘 2:14,,,,원문없음,,1977052998
7871,1977-06-26,미분류(주일),고후 9:6,,,,원문없음,,1977062698
7872,1977-12-18,미분류(주일),약 5:7-11,,,,원문없음,,1977121898
7873,1978-12-17,미분류(주일),딤전 6:17,,,,원문없음,,1978121798
7874,1950-02-21,월-새벽,롬 3:31,,,,원문없음,,1950022110
7875,1954-08-02,월-새벽,단 6:1-8,,다니엘의 순진한 신앙,,,,1954080210
7876,1954-08-09,월-새벽,요일 1:3-3,,,,원문없음,,1954080910
7877,1954-08-16,월-새벽,빌 2:5,,,,원문없음,,1954081610
7878,1954-09-21,월-새벽,마 14:22-35,,,,원문없음,,1954092110
7879,1954-11-01,월-새벽,마 8:28,,,,원문없음,,1954110110
7880,1954-11-22,월-새벽,롬 3:26,,,,원문없음,,1954112210
7881,1954-12-27,월-새벽,고전 10:13,,堪當할 試驗 外에는 當하지 아니함,,,,1954122710
7882,1955-01-03,월-새벽,계 3:10-13,,,,원문없음,,1955010310
7883,1955-01-10,월-새벽,요일 2:15-17,요한1서02:15-17,,,원문없음,,1955011010
7884,1955-01-17,월-새벽,눅 5:8,,,,원문없음,,1955011710
7885,1955-01-24,월-새벽,살전 1:3-4,,하나님이 기뻐하시는 교회,,,,1955012410
7886,1955-02-07,월-새벽,마 10:40-42,,하나님의 아들로 살아라,,,,1955020710
7887,1955-02-14,월-새벽,롬 3:26,,칭의의 시간,,,,1955021410
7888,1955-02-28,월-새벽,롬 4:4-5,,,,원문없음,,1955022810
7889,1955-03-07,월-새벽,롬 4:13,,,,원문없음,,1955030710
7890,1955-03-14,월-새벽,요 14:28,,,,원문없음,,1955031410
7891,1955-03-28,월-새벽,마 7:7-12,,,,원문없음,,1955032810
7892,1955-04-04,월-새벽,계 3:7-13,,,,원문없음,,1955040410
7893,1955-04-11,월-새벽,삼상 6:16,,,,원문없음,,1955041110
7894,1955-04-18,월-새벽,요 20:21-23,,,,원문없음,,1955041810
